UserId,MovieId,Pred_rating
1,1172,3.0593521779050934
1,1405,2.5697526476211614
1,2193,2.892558180734456
1,2968,3.5898064700773338
2,52,3.922534915855489
2,144,4.3107195823029425
2,248,3.7777654183809517
2,314,4.525178545814914
2,319,3.4939254973365523
2,370,3.5066579720238114
2,371,3.0804380027941853
2,372,2.2584393925876296
2,382,3.7875069819768825
2,405,1.7224517005060065
2,485,2.516726884436686
2,537,5.171238563753018
2,550,2.83096608110154
2,616,4.621011042292185
2,661,3.2763054055308523
2,720,4.419118441494875
3,377,3.3706285466418073
3,592,3.3086265901829197
3,595,3.580962323351009
3,736,3.0673049479712144
3,1197,3.958945501322378
3,1721,3.290052821030958
3,2716,3.6967807190163597
3,5349,3.3278705984611268
3,8636,3.49490003451049
3,44191,3.7893153791486807
3,84236,2.5
4,185,3.3345316122770527
4,356,4.620628371554393
4,357,4.155310631729543
4,364,4.284192871826295
4,410,3.692713052262033
4,435,2.6165780891013473
4,440,4.091927015896374
4,442,3.3427694578509293
4,588,4.170585828851714
4,589,4.864405566522038
4,594,3.9698343442050374
4,596,4.129181607855493
4,610,4.257908356329664
4,616,3.916897655821383
4,919,4.537881052528718
4,1022,4.002403031953151
4,1028,4.256396499165003
4,1032,4.0792390445750915
4,1033,3.6173395136960553
4,1282,4.430205215340134
4,1334,3.80306453453512
4,1372,3.7018020450771556
4,1580,4.3624202673126025
4,1858,3.2142931666205747
4,1967,4.376788198082615
4,2033,4.374252212506841
4,2078,4.033037696204136
4,2081,3.7238483455397304
4,2085,4.3539621661957675
4,2087,3.5947444722719033
4,2094,3.1484240130844543
4,2096,3.9300174740080296
4,2102,4.845534044963374
4,2124,3.825127851856671
4,2141,4.294510523676321
4,2454,4.6763322905552505
4,3034,4.919346796962413
4,3108,4.2766256357944865
4,3255,4.1952253942181414
4,3263,3.4459121875540104
4,4006,3.708922979112061
5,3,3.5733363982081143
5,39,3.371825538918129
5,104,3.883440333914219
5,788,3.7062989499863686
5,1247,3.8204081760892965
5,1485,3.3398923913127785
5,1544,3.9113176141088792
5,1777,3.6452793438656474
5,1997,3.232916925125817
5,2770,3.252811568068985
5,4018,3.817619260663253
5,4025,3.913855883633815
5,4447,3.665501843380487
5,4718,3.213544587891822
5,5266,4.224828688447927
5,5995,3.692507535377988
5,6373,3.7213247697440375
5,8376,2.2113661656705546
5,30749,3.1961468907584116
5,33679,3.8954859811841533
6,173,3.5703744890256055
6,1687,2.7864639647015608
6,2019,4.303862731834229
6,2072,2.9589448402523573
6,2528,3.804602743993227
6,2723,3.070852629513828
6,3300,3.7238827790618956
6,4641,4.700532350107734
6,4975,3.3541553156886685
7,260,4.056582855638734
7,316,2.8724810015305144
7,377,3.1155003154273655
7,380,3.1667755904360937
7,480,3.277009765904952
7,589,3.6486037347022964
7,1036,3.9297553461407473
7,1129,3.2744284786265947
7,1198,3.9732031528721565
7,1240,3.72908716261442
7,1275,3.573810351285522
7,1371,3.2238952042765794
7,1372,2.728388205061215
7,1373,1.9347465043618386
7,1374,3.3987624408745605
7,1375,3.0780140288865128
7,1376,3.040503497543918
7,1408,3.1395871551162218
8,32,4.107988152269196
8,110,3.9231515642588106
8,1219,4.3298904851455955
8,1225,4.289791618532567
8,1258,4.209145535712607
8,1358,3.5172904463001675
8,1704,4.199493960162153
8,1961,4.155934300081005
8,2028,3.9848511609400727
8,2329,4.245847229874224
8,2791,4.017136109387126
8,2804,3.8035520509055916
8,2918,4.2262125260772345
8,3996,4.155288480746405
8,5650,3.8416649272448806
8,8873,3.482597887421287
8,8874,4.165966298719024
8,33166,4.292246035250005
8,40583,4.027517422300455
8,40819,3.634381416712909
